description,attribute,metric,value
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-09,Three-Day Moving Average Of Cases,114
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-10,Three-Day Moving Average Of Cases,153.67
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-11,Three-Day Moving Average Of Cases,177.33
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-12,Three-Day Moving Average Of Cases,177.33
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-13,Three-Day Moving Average Of Cases,208.67
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-14,Three-Day Moving Average Of Cases,218
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-15,Three-Day Moving Average Of Cases,257.67
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-16,Three-Day Moving Average Of Cases,278.33
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-17,Three-Day Moving Average Of Cases,316.67
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-18,Three-Day Moving Average Of Cases,331
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-19,Three-Day Moving Average Of Cases,316
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-20,Three-Day Moving Average Of Cases,321
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-21,Three-Day Moving Average Of Cases,305.67
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-22,Three-Day Moving Average Of Cases,298.33
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-23,Three-Day Moving Average Of Cases,324
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-24,Three-Day Moving Average Of Cases,337.67
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-25,Three-Day Moving Average Of Cases,384
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-26,Three-Day Moving Average Of Cases,345.33
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-27,Three-Day Moving Average Of Cases,364.33
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-28,Three-Day Moving Average Of Cases,340
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-29,Three-Day Moving Average Of Cases,338.67
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-30,Three-Day Moving Average Of Cases,351.33
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-31,Three-Day Moving Average Of Cases,338
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-01,Three-Day Moving Average Of Cases,396.67
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-02,Three-Day Moving Average Of Cases,371
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-03,Three-Day Moving Average Of Cases,420.33
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-04,Three-Day Moving Average Of Cases,372.67
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-05,Three-Day Moving Average Of Cases,359
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-06,Three-Day Moving Average Of Cases,367.33
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-07,Three-Day Moving Average Of Cases,379
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-08,Three-Day Moving Average Of Cases,402.33
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-09,Three-Day Moving Average Of Cases,382.33
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-10,Three-Day Moving Average Of Cases,413
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-11,Three-Day Moving Average Of Cases,407.67
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-12,Three-Day Moving Average Of Cases,406.67
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-13,Three-Day Moving Average Of Cases,409.33
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-14,Three-Day Moving Average Of Cases,420
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-15,Three-Day Moving Average Of Cases,450
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-16,Three-Day Moving Average Of Cases,413.67
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-17,Three-Day Moving Average Of Cases,444.67
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-18,Three-Day Moving Average Of Cases,412.67
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-19,Three-Day Moving Average Of Cases,394.33
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-20,Three-Day Moving Average Of Cases,436
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-21,Three-Day Moving Average Of Cases,413.33
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-22,Three-Day Moving Average Of Cases,446.67
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-23,Three-Day Moving Average Of Cases,366.33
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-24,Three-Day Moving Average Of Cases,398.33
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-25,Three-Day Moving Average Of Cases,392.67
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-26,Three-Day Moving Average Of Cases,379.67
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-27,Three-Day Moving Average Of Cases,372.67
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-28,Three-Day Moving Average Of Cases,354
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-29,Three-Day Moving Average Of Cases,348.33
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-30,Three-Day Moving Average Of Cases,326.33
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-05-01,Three-Day Moving Average Of Cases,345.33
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-05-02,Three-Day Moving Average Of Cases,335
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-05-03,Three-Day Moving Average Of Cases,321.33
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-05-04,Three-Day Moving Average Of Cases,312
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-05-05,Three-Day Moving Average Of Cases,319.67
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-05-06,Three-Day Moving Average Of Cases,334.33
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-05-07,Three-Day Moving Average Of Cases,319.33
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-05-08,Three-Day Moving Average Of Cases,324.33
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-05-09,Three-Day Moving Average Of Cases,293.67
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-05-10,Three-Day Moving Average Of Cases,277
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-05-11,Three-Day Moving Average Of Cases,267.33
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-05-12,Three-Day Moving Average Of Cases,273.33
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-05-13,Three-Day Moving Average Of Cases,277.67
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-05-14,Three-Day Moving Average Of Cases,246
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-05-15,Three-Day Moving Average Of Cases,213.33
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-05-16,Three-Day Moving Average Of Cases,171.33
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-05-17,Three-Day Moving Average Of Cases,144
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-05-18,Three-Day Moving Average Of Cases,123.33
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-05-19,Three-Day Moving Average Of Cases,89.33
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-05-20,Three-Day Moving Average Of Cases,56.67
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-05-21,Three-Day Moving Average Of Cases,24
Cases of COVID-19 in Colorado by Date of Illness Onset,Note,Onset date may be unavailable for some cases and inferred.,NA
Cases of COVID-19 in Colorado by Date of Illness Onset,Note,Illnesses might not yet be reported due to the time it takes between when a person becomes ill and when the illness is reported.,NA
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-02-01,Cases,1
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-02-02,Cases,1
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-02-03,Cases,0
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-02-04,Cases,0
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-02-05,Cases,2
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-02-06,Cases,1
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-02-07,Cases,0
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-02-08,Cases,14
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-02-09,Cases,1
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-02-10,Cases,18
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-02-11,Cases,0
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-02-12,Cases,0
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-02-13,Cases,1
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-02-14,Cases,1
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-02-15,Cases,7
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-02-16,Cases,0
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-02-17,Cases,2
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-02-18,Cases,1
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-02-19,Cases,2
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-02-20,Cases,6
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-02-21,Cases,2
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-02-22,Cases,3
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-02-23,Cases,5
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-02-24,Cases,7
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-02-25,Cases,4
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-02-26,Cases,7
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-02-27,Cases,9
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-02-28,Cases,10
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-02-29,Cases,10
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-01,Cases,48
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-02,Cases,24
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-03,Cases,36
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-04,Cases,44
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-05,Cases,33
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-06,Cases,59
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-07,Cases,54
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-08,Cases,109
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-09,Cases,179
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-10,Cases,173
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-11,Cases,180
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-12,Cases,179
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-13,Cases,267
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-14,Cases,208
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-15,Cases,298
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-16,Cases,329
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-17,Cases,323
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-18,Cases,341
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-19,Cases,284
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-20,Cases,338
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-21,Cases,295
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-22,Cases,262
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-23,Cases,415
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-24,Cases,336
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-25,Cases,401
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-26,Cases,299
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-27,Cases,393
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-28,Cases,328
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-29,Cases,295
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-30,Cases,431
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-31,Cases,288
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-01,Cases,471
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-02,Cases,354
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-03,Cases,436
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-04,Cases,328
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-05,Cases,313
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-06,Cases,461
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-07,Cases,363
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-08,Cases,383
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-09,Cases,401
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-10,Cases,455
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-11,Cases,367
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-12,Cases,398
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-13,Cases,463
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-14,Cases,399
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-15,Cases,488
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-16,Cases,354
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-17,Cases,492
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-18,Cases,392
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-19,Cases,299
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-20,Cases,617
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-21,Cases,324
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-22,Cases,399
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-23,Cases,376
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-24,Cases,420
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-25,Cases,382
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-26,Cases,337
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-27,Cases,399
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-28,Cases,326
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-29,Cases,320
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-30,Cases,333
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-05-01,Cases,383
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-05-02,Cases,289
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-05-03,Cases,292
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-05-04,Cases,355
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-05-05,Cases,312
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-05-06,Cases,336
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-05-07,Cases,310
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-05-08,Cases,327
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-05-09,Cases,244
Cases of COVID-19 in Colorado by Date of Illness Onset,2020-05-10,Cases,260
